sample,from,to,sync_ms,clean_blk_s
2459,24599900,24599999,2434,41.0
2460,24609900,24609999,2438,41.0
2461,24619900,24619999,2554,39.1
2462,24629900,24629999,2451,40.7
2463,24639900,24639999,2636,37.9
2464,24649900,24649999,2395,41.7
2465,24659900,24659999,2473,40.4
2466,24669900,24669999,2686,37.2
2467,24679900,24679999,2681,37.2
2468,24689900,24689999,2771,36.0
2469,24699900,24699999,2297,43.5
2470,24709900,24709999,2547,39.2
2471,24719900,24719999,2623,38.1
2472,24729900,24729999,2477,40.3
2473,24739900,24739999,2379,42.0
2474,24749900,24749999,2619,38.1
2475,24759900,24759999,2279,43.8
2476,24769900,24769999,2219,45.0
2477,24779900,24779999,2450,40.8
2478,24789900,24789999,2624,38.1
2479,24799900,24799999,2293,43.6
2480,24809900,24809999,2202,45.4
2481,24819900,24819999,2287,43.7
2482,24829900,24829999,2653,37.6
2483,24839900,24839999,3046,32.8
2484,24849900,24849999,2447,40.8
2485,24859900,24859999,2481,40.3
2486,24869900,24869999,2538,39.4
2487,24879900,24879999,2786,35.8
2488,24889900,24889999,2629,38.0
2489,24899900,24899999,2525,39.6
2490,24909900,24909999,2814,35.5
2491,24919900,24919999,2815,35.5
2492,24929900,24929999,2256,44.3
2493,24939900,24939999,2660,37.5
2494,24949900,24949999,2396,41.7
2495,24959900,24959999,1952,51.2
2496,24969900,24969999,2109,47.4
2497,24979900,24979999,1723,58.0
2498,24989900,24989999,1913,52.2
2499,24999900,24999999,2295,43.5
2500,25009900,25009999,2212,45.2
2501,25019900,25019999,2548,39.2
2502,25029900,25029999,2345,42.6
2503,25039900,25039999,2367,42.2
2504,25049900,25049999,2016,49.6
2505,25059900,25059999,2468,40.5
2506,25069900,25069999,2964,33.7
2507,25079900,25079999,2413,41.4
2508,25089900,25089999,2885,34.6
2509,25099900,25099999,2238,44.6
2510,25109900,25109999,2448,40.8
